"Date","Price","Open","High","Low","Vol.","Change %"
"05/26/2026","310.72","314.04","314.57","309.60","2.41M","-0.34%"
"05/22/2026","311.78","313.28","314.42","310.65","2.21M","0.67%"
"05/21/2026","309.70","308.55","310.75","305.61","1.99M","-0.04%"
"05/20/2026","309.82","310.00","310.87","303.04","4.58M","0.16%"
"05/19/2026","309.31","310.74","312.99","307.63","2.92M","-0.94%"
"05/18/2026","312.24","314.29","315.66","310.40","2.27M","-0.40%"
"05/15/2026","313.48","312.29","315.49","312.00","2.65M","0.23%"
"05/14/2026","312.77","313.02","314.68","311.03","3.24M","1.02%"
"05/13/2026","309.61","311.12","312.10","307.76","2.97M","-1.50%"
"05/12/2026","314.31","312.33","314.95","311.08","2.28M","0.64%"
"05/11/2026","312.32","315.29","316.40","311.81","3.08M","-1.17%"
"05/08/2026","316.03","319.09","320.05","313.61","6.80M","-0.83%"
"05/07/2026","318.69","322.33","324.54","316.80","3.35M","-1.00%"
"05/06/2026","321.90","320.00","324.78","320.00","2.93M","1.88%"
"05/05/2026","315.95","320.28","320.60","314.50","2.66M","-1.02%"
"05/04/2026","319.21","320.77","322.90","317.46","2.69M","-0.15%"
"05/01/2026","319.68","324.47","325.00","319.46","2.39M","-1.04%"
"04/30/2026","323.05","313.37","323.85","312.23","4.59M","2.34%"
"04/29/2026","315.65","316.88","317.55","314.01","3.14M","-0.08%"
"04/28/2026","315.90","321.70","323.70","314.96","6.10M","-0.92%"
"04/27/2026","318.84","313.02","318.96","313.02","2.55M","1.52%"
"04/24/2026","314.08","316.51","318.82","312.50","2.97M","-1.40%"
"04/23/2026","318.55","332.20","332.20","314.75","4.58M","-4.31%"
"04/22/2026","332.90","331.11","334.50","328.00","4.34M","0.94%"
"04/21/2026","329.79","331.80","338.09","328.45","2.92M","-0.02%"
"04/20/2026","329.87","331.68","334.74","329.53","2.28M","-0.55%"
"04/17/2026","331.69","330.00","339.98","329.52","4.78M","1.82%"
"04/16/2026","325.76","328.77","331.17","325.23","2.02M","-1.00%"
"04/15/2026","329.06","328.88","332.40","327.24","2.54M","0.64%"
"04/14/2026","326.96","325.00","328.91","323.75","2.29M","0.97%"
"04/13/2026","323.82","311.18","324.22","310.00","2.58M","3.29%"
"04/10/2026","313.50","317.37","318.00","313.13","1.99M","-1.34%"
"04/09/2026","317.77","314.31","318.15","312.18","2.00M","0.45%"
"04/08/2026","316.34","317.25","322.50","314.94","3.65M","3.03%"
"04/07/2026","307.03","302.53","307.12","301.71","2.27M","0.43%"
"04/06/2026","305.73","298.76","305.79","298.41","2.19M","1.85%"
"04/02/2026","300.18","295.40","302.75","292.58","2.11M","-0.42%"
"04/01/2026","301.45","306.77","307.25","299.63","3.40M","-0.34%"
"03/31/2026","302.48","302.98","304.47","297.58","3.52M","1.68%"
"03/30/2026","297.49","294.68","301.46","293.70","3.85M","1.79%"
"03/27/2026","292.27","297.29","297.95","291.50","2.75M","-2.38%"
"03/26/2026","299.39","298.57","302.70","295.85","2.89M","-0.28%"
"03/25/2026","300.24","305.00","306.38","296.90","2.82M","-0.58%"
"03/24/2026","302.00","298.81","303.84","297.95","3.64M","0.03%"
"03/23/2026","301.91","304.98","304.98","297.96","4.32M","2.17%"
"03/20/2026","295.50","294.97","296.50","290.97","7.12M","0.19%"
